artist,tot_track,below_or_above_avg
"Roger Norrington, London Classical Players",1,BELOW AVERAGE
Royal Philharmonic Orchestra & Sir Thomas Beecham,1,BELOW AVERAGE
Rush,14,ABOVE AVERAGE
Santana,27,ABOVE AVERAGE
Scholars Baroque Ensemble,1,BELOW AVERAGE
Scorpions,12,AVERAGE
Sergei Prokofiev & Yuri Temirkanov,1,BELOW AVERAGE
Sir Georg Solti & Wiener Philharmoniker,1,BELOW AVERAGE
"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",1,BELOW AVERAGE
Skank,23,ABOVE AVERAGE
Smashing Pumpkins,34,ABOVE AVERAGE
Soundgarden,17,ABOVE AVERAGE
Spyro Gyra,21,ABOVE AVERAGE
Stevie Ray Vaughan & Double Trouble,10,BELOW AVERAGE
Stone Temple Pilots,12,AVERAGE
System Of A Down,11,BELOW AVERAGE
Temple of the Dog,10,BELOW AVERAGE
"Terry Bozzio, Tony Levin & Steve Stevens",7,BELOW AVERAGE
The 12 Cellists of The Berlin Philharmonic,1,BELOW AVERAGE
The Black Crowes,19,ABOVE AVERAGE
The Clash,18,ABOVE AVERAGE
The Cult,30,ABOVE AVERAGE
The Doors,11,BELOW AVERAGE
The King's Singers,2,BELOW AVERAGE
The Office,53,ABOVE AVERAGE
The Police,14,ABOVE AVERAGE
The Posies,2,BELOW AVERAGE
The Rolling Stones,41,ABOVE AVERAGE
The Tea Party,26,ABOVE AVERAGE
The Who,20,ABOVE AVERAGE
Tim Maia,30,ABOVE AVERAGE
Titãs,38,ABOVE AVERAGE
Ton Koopman,1,BELOW AVERAGE
Toquinho & Vinícius,15,ABOVE AVERAGE
U2,135,ABOVE AVERAGE
UB40,14,ABOVE AVERAGE
Van Halen,52,ABOVE AVERAGE
Various Artists,56,ABOVE AVERAGE
Velvet Revolver,13,ABOVE AVERAGE
Vinícius De Moraes,15,ABOVE AVERAGE
Wilhelm Kempff,1,BELOW AVERAGE
Yehudi Menuhin,1,BELOW AVERAGE
Yo-Yo Ma,1,BELOW AVERAGE
Zeca Pagodinho,19,ABOVE AVERAGE
